timestamp,gps_latitude,gps_longitude,gps_altitude,gps_heading,gps_satellites,gps_fix_type,gps_hdop,gps_vdop,gps_ground_speed,zed_x,zed_y,zed_z,zed_yaw
1737315528.2618444,35.7690553,-78.660951,120.01,355.83,10,3,1.1,2.45,0.11661903789690602,3.7637011164257106e-07,4.993357775658069e-06,1.963633589799861e-05,0.49416855378191826
1737315529.2612789,35.7690544,-78.6609524,120.0,355.8,10,3,1.1,2.45,0.12206555615733704,3.7637011164257106e-07,4.993357775658069e-06,1.963633589799861e-05,0.49416855378191826
1737315530.261291,35.7690519,-78.6609533,120.04,355.76,10,3,1.1,2.45,0.18027756377319948,3.7637011164257106e-07,4.993357775658069e-06,1.963633589799861e-05,0.49416855378191826
1737315531.2600682,35.7690508,-78.6609543,120.13,355.71,9,3,1.21,2.51,0.1676305461424021,3.7637011164257106e-07,4.993357775658069e-06,1.963633589799861e-05,0.49416855378191826
1737315532.2642539,35.76905,-78.6609544,120.17,355.67,9,3,1.21,2.51,0.15297058540778355,3.7637011164257106e-07,4.993357775658069e-06,1.963633589799861e-05,0.49416855378191826
1737315533.259021,35.7690493,-78.6609549,120.16,355.63,9,3,1.21,2.51,0.15297058540778355,3.7637011164257106e-07,4.993357775658069e-06,1.963633589799861e-05,0.49416855378191826
1737315534.2582238,35.7690488,-78.6609551,120.13,355.6,9,3,1.21,2.51,0.14035668847618202,3.7637011164257106e-07,4.993357775658069e-06,1.963633589799861e-05,0.49416855378191826
1737315535.257722,35.7690493,-78.6609558,120.09,355.59,9,3,1.21,2.51,0.09055385138137416,3.7637011164257106e-07,4.993357775658069e-06,1.963633589799861e-05,0.49416855378191826
1737315536.2572064,35.769049,-78.6609568,120.0,355.59,10,3,1.1,2.45,0.09219544457292887,3.7637011164257106e-07,4.993357775658069e-06,1.963633589799861e-05,0.49416855378191826
1737315537.2568648,35.7690494,-78.6609588,119.97,355.6,9,3,1.22,2.55,0.07211102550927978,3.7637011164257106e-07,4.993357775658069e-06,1.963633589799861e-05,0.49416855378191826
1737315538.2559526,35.7690505,-78.6609605,119.96,355.58,9,3,1.22,2.55,0.08246211251235322,3.7637011164257106e-07,4.993357775658069e-06,1.963633589799861e-05,0.49416855378191826
1737315539.2553048,35.76905,-78.660962,119.97,355.59,9,3,1.22,2.55,0.0806225774829855,3.7637011164257106e-07,4.993357775658069e-06,1.963633589799861e-05,0.49416855378191826
1737315540.2546244,35.7690488,-78.6609605,120.07,36.29,9,3,1.22,2.55,0.26,3.7637011164257106e-07,4.993357775658069e-06,1.963633589799861e-05,0.49416855378191826
1737315541.2542784,35.7690496,-78.6609607,120.04,60.26,9,3,1.22,2.55,0.260768096208106,0.009410106816227663,0.004787092023707182,0.020278825047622538,4.70855839079465
1737315542.253387,35.7690503,-78.6609639,120.07,59.88,9,3,1.22,2.55,0.420119030752,-0.13787578113909205,0.0544886842733,-0.001118801954114488,52.65854998645905
1737315543.2526164,35.7690525,-78.660969,120.05,59.66,9,3,1.22,2.55,0.5842088667591412,0.2941458708894458,0.572673182953581,-0.01135370014124862,66.98124414717132
1737315544.2527492,35.7690532,-78.660972,120.08,59.44,9,3,1.22,2.55,0.6328506932918696,1.3266312499986697,1.6163951493393263,-0.21414151459923547,66.9589711034761
1737315545.2522526,35.7690519,-78.6609754,120.07,59.22,9,3,1.22,2.55,0.66,2.1710263330607007,2.4096171902501116,-0.2852942576300388,66.87480755109947
1737315546.2506785,35.7690529,-78.6609773,120.04,59.03,9,3,1.22,2.55,0.63,4.211998237234959,3.9071275255002353,-0.48478078311173867,67.12049359015539
1737315547.24996,35.7690546,-78.6609783,119.99,58.86,9,3,1.22,2.55,0.5608029957123981,6.287843330276479,5.610620317815827,-0.6857302054963336,66.93664164521884
1737315548.2500873,35.7690551,-78.6609782,119.96,58.67,9,3,1.22,2.55,0.46043457732885357,8.795212263872527,7.6493858457426365,-0.916682466484307,66.92396468350388
1737315549.2487009,35.7690553,-78.6609783,119.95,58.52,9,3,1.22,2.55,0.37,10.9081035596841,9.76034018362986,-1.2919414979344297,66.89457272015312
1737315550.248075,35.7690552,-78.660978,120.0,58.35,9,3,1.22,2.55,0.2816025568065745,13.211476748166028,11.632387521484942,-1.4628021104189168,66.92096151264046
1737315551.2481241,35.7690554,-78.6609767,120.07,58.28,9,3,1.22,2.55,0.1676305461424021,16.38933736345219,14.49640339216557,-1.8983807440712277,66.90813898094373
1737315552.2468429,35.7690559,-78.6609758,120.09,58.17,9,3,1.22,2.55,0.09899494936611666,18.663271960084206,16.058493545946302,-2.1023216116855243,66.96897636884303
1737315553.2463665,35.7690576,-78.6609754,120.08,58.1,9,3,1.22,2.55,0.03,21.28974761048857,18.321094193676323,-2.414939986046647,66.97765401338609
1737315554.2462142,35.7690591,-78.6609749,120.06,58.03,9,3,1.22,2.55,0.0608276253029822,24.170596196723064,20.56964570344857,-2.4104014819030724,67.03455125929979
1737315555.245531,35.7690603,-78.660974,120.01,57.97,9,3,1.22,2.55,0.12,26.492383695768073,22.812291023069527,-2.41197712511216,67.05327746177099
1737315556.2445006,35.7690607,-78.6609736,119.93,57.91,9,3,1.22,2.55,0.16031219541881397,28.337483590775182,24.243113596953187,-2.4417001376174796,67.07628255102529
1737315557.2438571,35.769061,-78.6609726,119.92,57.86,9,3,1.22,2.56,0.2009975124224178,30.325415401492517,25.905968389644727,-2.4788810303484965,67.12290534713796
